epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.383,1.34231,1.29538,1.13575,0.04829,0.28194,0.04239,0.02175,0.91883,8.18404,0.70255,0.06712,0.000332121,0.000332121
2,552.947,1.22101,0.85497,1.10945,0.04737,0.21586,0.0257,0.01299,0.97123,64.9431,0.70783,0.0341194,0.000664805,0.000664805
3,870.223,1.2017,0.78912,1.11015,0.04701,0.2299,0.0326,0.01638,0.95573,4.91454,0.70147,0.0011161,0.000994889,0.000994889
4,1205.08,1.15607,0.75031,1.09811,0.05285,0.18062,0.02319,0.01365,1.01877,4.84655,0.75618,0.000991232,0.000991232,0.000991232
5,1562.93,1.12178,0.71077,1.08009,0.04628,0.22907,0.0276,0.01385,0.95148,5.99388,0.74875,0.000984449,0.000984449,0.000984449
6,1879.48,1.08804,0.66229,1.06012,0.04761,0.34361,0.03401,0.0176,0.97076,7.85593,0.7466,0.000975773,0.000975773,0.000975773
7,2211.99,1.06979,0.64814,1.05612,0.04112,0.4185,0.03407,0.01786,0.93001,16.8509,0.73374,0.000965239,0.000965239,0.000965239
8,2557.03,1.04466,0.61871,1.03743,0.0485,0.30837,0.03341,0.0175,0.95111,6.4412,0.72922,0.000952889,0.000952889,0.000952889
9,2911.85,1.02735,0.61267,1.03128,0.04731,0.40088,0.03584,0.01822,0.9436,8.3608,0.70906,0.000938772,0.000938772,0.000938772
10,3266.69,1.01872,0.59675,1.02751,0.04963,0.22026,0.03458,0.01909,0.93384,6.94531,0.72456,0.000922942,0.000922942,0.000922942
11,3615.24,1.00795,0.58189,1.02245,0.04773,0.25551,0.03208,0.01807,0.89232,8.26913,0.70817,0.000905463,0.000905463,0.000905463
12,3979.26,0.99008,0.58027,1.02383,0.04605,0.37004,0.03667,0.0193,0.96836,8.9227,0.75612,0.000886404,0.000886404,0.000886404
13,4328.82,0.98865,0.56667,1.01592,0.0487,0.31278,0.03529,0.02058,0.86712,7.21725,0.70455,0.000865839,0.000865839,0.000865839
14,4663.81,0.96285,0.55753,1.00702,0.04838,0.23789,0.03241,0.01831,0.90996,8.16494,0.73155,0.000843851,0.000843851,0.000843851
15,5009.3,0.95138,0.54251,1.00817,0.05198,0.30837,0.03125,0.01785,0.93736,7.9888,0.72532,0.000820525,0.000820525,0.000820525
16,5334.3,0.95086,0.54164,1.00473,0.05059,0.31278,0.03715,0.02065,0.9155,7.95477,0.73724,0.000795954,0.000795954,0.000795954
17,5665.11,0.93764,0.53331,0.99219,0.05051,0.20705,0.02761,0.01488,0.92314,5.43884,0.75558,0.000770234,0.000770234,0.000770234
18,6015.89,0.94134,0.52989,0.99245,0.0501,0.20705,0.02337,0.01276,0.86009,6.13396,0.68863,0.000743468,0.000743468,0.000743468
19,6334.18,0.91629,0.5072,0.9878,0.0504,0.27313,0.02962,0.01669,0.87916,9.04987,0.70255,0.000715761,0.000715761,0.000715761
20,6658.57,0.90589,0.50429,0.99073,0.04565,0.19824,0.02643,0.01584,0.83469,5.73544,0.69385,0.000687222,0.000687222,0.000687222
21,6986.52,0.90106,0.49992,0.98735,0.04966,0.25991,0.03548,0.01993,0.93619,8.51869,0.75205,0.000657963,0.000657963,0.000657963
22,7317.2,0.8941,0.49351,0.9796,0.0466,0.3304,0.03444,0.01917,0.88502,7.49259,0.71845,0.000628101,0.000628101,0.000628101
23,7641.49,0.88535,0.48675,0.97273,0.05415,0.18943,0.03482,0.02092,0.90558,6.89761,0.74253,0.000597754,0.000597754,0.000597754
24,7967.36,0.86636,0.47108,0.96706,0.0485,0.22907,0.02537,0.01479,0.7787,7.72752,0.66108,0.00056704,0.00056704,0.00056704
25,8295.88,0.86833,0.47303,0.96779,0.04666,0.30837,0.03181,0.01826,0.85068,6.07468,0.67761,0.000536081,0.000536081,0.000536081
26,8626.26,0.86968,0.46899,0.96849,0.05406,0.23789,0.03271,0.01865,0.87512,5.73478,0.70182,0.000505,0.000505,0.000505
27,8951.57,0.86396,0.46547,0.96831,0.04876,0.23789,0.037,0.02126,0.88839,6.59923,0.70806,0.000473919,0.000473919,0.000473919
28,9300.92,0.84972,0.45386,0.96191,0.05125,0.2467,0.03286,0.01884,0.88759,7.67138,0.75473,0.00044296,0.00044296,0.00044296
29,9619.13,0.8374,0.45088,0.96261,0.04427,0.31278,0.02741,0.01586,0.96021,8.83021,0.75389,0.000412246,0.000412246,0.000412246
30,9944.37,0.81801,0.44193,0.9522,0.04573,0.3304,0.03027,0.01833,0.93757,7.12822,0.76407,0.000381899,0.000381899,0.000381899
31,10279.1,0.82338,0.43631,0.95518,0.04407,0.3304,0.02875,0.0172,0.92708,7.91735,0.75584,0.000352037,0.000352037,0.000352037
32,10544.3,0.82161,0.43375,0.95262,0.04443,0.32283,0.03104,0.0189,0.8714,7.56577,0.74851,0.000322778,0.000322778,0.000322778
33,10883.7,0.80837,0.42725,0.94895,0.04947,0.30837,0.0359,0.02022,0.90367,7.77155,0.75739,0.000294239,0.000294239,0.000294239
34,11215.7,0.8033,0.42925,0.93917,0.05058,0.25551,0.03066,0.01774,0.88639,6.80911,0.73691,0.000266532,0.000266532,0.000266532
35,11526.8,0.80647,0.41994,0.94783,0.04616,0.32159,0.03515,0.02113,0.83226,7.6354,0.69738,0.000239766,0.000239766,0.000239766
36,11857.1,0.78602,0.41176,0.93525,0.04734,0.31278,0.03215,0.01873,0.84293,6.70319,0.71495,0.000214046,0.000214046,0.000214046
37,12189.9,0.78762,0.41091,0.93535,0.04823,0.3304,0.03678,0.02152,0.84061,7.27015,0.70855,0.000189475,0.000189475,0.000189475
38,12543.8,0.77093,0.40294,0.93471,0.04785,0.29821,0.0356,0.02059,0.84539,7.0531,0.69633,0.000166149,0.000166149,0.000166149
39,12873.9,0.77199,0.39837,0.92915,0.05398,0.18062,0.03584,0.02153,0.84758,7.11915,0.72172,0.000144161,0.000144161,0.000144161
40,13198.7,0.76318,0.39388,0.93114,0.04993,0.29956,0.03719,0.02202,0.85381,6.9568,0.71538,0.000123596,0.000123596,0.000123596
41,13517.5,0.72052,0.35144,0.92043,0.04691,0.3348,0.03147,0.01852,0.89461,7.20758,0.75343,0.000104537,0.000104537,0.000104537
42,13833.4,0.71281,0.34826,0.91598,0.04569,0.38767,0.03695,0.0216,0.9085,6.8716,0.75919,8.70577e-05,8.70577e-05,8.70577e-05
43,14174.5,0.71513,0.34619,0.9188,0.04761,0.31718,0.03735,0.02205,0.91285,7.08736,0.75911,7.12282e-05,7.12282e-05,7.12282e-05
44,14521.8,0.70181,0.33996,0.9146,0.04711,0.3348,0.03796,0.02287,0.88366,7.07152,0.73389,5.71106e-05,5.71106e-05,5.71106e-05
45,14855.5,0.70136,0.3396,0.90931,0.04716,0.36564,0.03686,0.02255,0.85443,6.82221,0.72025,4.47606e-05,4.47606e-05,4.47606e-05
46,15175.1,0.70001,0.33749,0.90964,0.04771,0.37885,0.03747,0.02231,0.86189,6.47288,0.71912,3.4227e-05,3.4227e-05,3.4227e-05
47,15479.8,0.69315,0.3357,0.9039,0.04682,0.35683,0.03672,0.0219,0.87759,6.60012,0.73575,2.55513e-05,2.55513e-05,2.55513e-05
48,15787.3,0.68909,0.33675,0.90627,0.04722,0.35242,0.03679,0.02211,0.87059,6.48789,0.72781,1.87678e-05,1.87678e-05,1.87678e-05
49,16102.2,0.69233,0.33493,0.90351,0.04727,0.32599,0.03708,0.0223,0.86363,6.63891,0.72789,1.39032e-05,1.39032e-05,1.39032e-05
50,16412.7,0.68955,0.33535,0.90604,0.04638,0.32599,0.03647,0.02214,0.86487,6.59847,0.72424,1.09768e-05,1.09768e-05,1.09768e-05
