epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.908,1.72224,2.12979,1.30888,0.67398,0.54838,0.5854,0.23271,1.77701,3.6526,1.13508,0.00333158,0.00333158,0.00333158
2,862.376,1.60393,1.4211,1.23467,0.61318,0.60206,0.60744,0.25286,1.67027,2.76386,1.15549,0.00666329,0.00666329,0.00666329
3,1299.36,1.61503,1.28328,1.25422,0.60459,0.45664,0.47932,0.18784,1.84385,2.06019,1.22902,0.00998848,0.00998848,0.00998848
4,1737.22,1.60209,1.22483,1.26033,0.66975,0.63864,0.67827,0.29503,1.6428,2.54548,1.18454,0.00997803,0.00997803,0.00997803
5,2177.1,1.56917,1.1458,1.25404,0.65844,0.58287,0.62432,0.27568,1.63064,1.7308,1.16887,0.00996097,0.00996097,0.00996097
6,2616.59,1.53998,1.0903,1.25085,0.69221,0.6472,0.68219,0.29517,1.68335,1.56138,1.17249,0.00993906,0.00993906,0.00993906
7,3055.26,1.51054,1.0351,1.23445,0.70076,0.6292,0.67726,0.29269,1.7176,1.69457,1.1894,0.00991232,0.00991232,0.00991232
8,3494.63,1.49662,1.00736,1.22374,0.70753,0.58496,0.65274,0.29226,1.66425,2.14743,1.16965,0.00988079,0.00988079,0.00988079
9,3934.07,1.4749,0.98819,1.21076,0.6791,0.62425,0.66389,0.2902,1.67447,2.17809,1.17297,0.00984449,0.00984449,0.00984449
10,4372.11,1.45147,0.96266,1.20324,0.67608,0.58437,0.63536,0.28081,1.66301,1.87254,1.1695,0.00980345,0.00980345,0.00980345
11,4810.53,1.44283,0.9469,1.19877,0.67688,0.62419,0.67646,0.30422,1.69248,1.52553,1.18884,0.00975773,0.00975773,0.00975773
12,5250.28,1.42501,0.92516,1.19144,0.70662,0.60265,0.66831,0.28848,1.70761,1.58815,1.19794,0.00970736,0.00970736,0.00970736
13,5689.98,1.4173,0.91019,1.19183,0.70979,0.64808,0.70707,0.3125,1.65549,1.54917,1.16744,0.00965239,0.00965239,0.00965239
14,6129.01,1.41419,0.91044,1.1858,0.69457,0.6138,0.67592,0.30925,1.62236,1.68106,1.14994,0.00959289,0.00959289,0.00959289
15,6569.8,1.40069,0.88398,1.17404,0.68347,0.65428,0.68266,0.30275,1.66491,1.6619,1.16232,0.00952889,0.00952889,0.00952889
16,7009.58,1.3887,0.86567,1.16932,0.70282,0.60619,0.67454,0.30126,1.67941,1.65126,1.18415,0.00946048,0.00946048,0.00946048
17,7447.94,1.37551,0.85316,1.16491,0.69486,0.63835,0.6991,0.3163,1.65083,1.60235,1.16491,0.00938772,0.00938772,0.00938772
18,7885.81,1.36726,0.83868,1.16534,0.68099,0.63451,0.68299,0.29804,1.72732,1.60492,1.18757,0.00931067,0.00931067,0.00931067
