epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,503.61,1.77968,2.25367,1.34612,0.63896,0.49941,0.51503,0.20184,1.86085,4.84516,1.22011,0.00333158,0.00333158,0.00333158
2,956.099,1.6799,1.56786,1.26627,0.55103,0.50614,0.49069,0.19406,1.88634,5.22365,1.26357,0.00666329,0.00666329,0.00666329
3,1402.24,1.69248,1.45766,1.2817,0.65258,0.48791,0.53553,0.21372,1.80701,2.92797,1.21258,0.00998848,0.00998848,0.00998848
4,1847.86,1.69831,1.41495,1.29651,0.56206,0.47227,0.46921,0.18692,1.83907,3.79295,1.26231,0.00997803,0.00997803,0.00997803
5,2295.85,1.6448,1.30171,1.27551,0.62454,0.46991,0.50741,0.20119,1.90447,3.4024,1.31146,0.00996097,0.00996097,0.00996097
6,2742.84,1.60831,1.25433,1.25302,0.63397,0.5059,0.54636,0.21658,1.82065,3.85902,1.23414,0.00993906,0.00993906,0.00993906
7,3188.55,1.57782,1.1814,1.23993,0.6342,0.5177,0.55632,0.23508,1.78893,2.92282,1.22634,0.00991232,0.00991232,0.00991232
8,3635.67,1.56267,1.14967,1.22821,0.64099,0.50029,0.53746,0.21179,1.91176,3.73332,1.30001,0.00988079,0.00988079,0.00988079
9,4080.87,1.53548,1.12312,1.21707,0.68305,0.5236,0.58688,0.23494,1.87166,3.45621,1.26804,0.00984449,0.00984449,0.00984449
10,4526.66,1.5096,1.08587,1.20436,0.64763,0.52655,0.55493,0.22779,1.91444,3.52789,1.31043,0.00980345,0.00980345,0.00980345
11,4972.43,1.50385,1.05474,1.19649,0.65229,0.53392,0.57071,0.23148,1.83487,3.41666,1.25154,0.00975773,0.00975773,0.00975773
12,5420.35,1.48496,1.0391,1.18629,0.65573,0.52507,0.56262,0.22738,1.88365,2.37703,1.28028,0.00970736,0.00970736,0.00970736
13,5866.69,1.4688,1.02999,1.17986,0.67863,0.50413,0.56592,0.23465,1.85443,2.5589,1.29785,0.00965239,0.00965239,0.00965239
14,6314.05,1.4614,1.01614,1.17529,0.66121,0.53245,0.57696,0.23715,1.8767,2.85124,1.29189,0.00959289,0.00959289,0.00959289
15,6762.95,1.44655,0.98752,1.16379,0.66843,0.50501,0.55879,0.2324,1.8543,2.56588,1.2649,0.00952889,0.00952889,0.00952889
16,7209.46,1.435,0.97563,1.1589,0.66181,0.5413,0.57709,0.23952,1.87007,2.92687,1.26871,0.00946048,0.00946048,0.00946048
17,7654.32,1.4203,0.95037,1.14787,0.65019,0.52801,0.55875,0.23199,1.88859,2.442,1.2615,0.00938772,0.00938772,0.00938772
18,8102.35,1.40351,0.93633,1.14372,0.6642,0.53127,0.56894,0.23804,1.86747,2.89071,1.25199,0.00931067,0.00931067,0.00931067
19,8548.91,1.40602,0.92329,1.13834,0.62427,0.52212,0.54918,0.22563,1.91993,3.07778,1.29166,0.00922942,0.00922942,0.00922942
20,8996.45,1.39265,0.90889,1.13113,0.66261,0.54926,0.5827,0.24679,1.87464,2.56001,1.27198,0.00914405,0.00914405,0.00914405
21,9441.6,1.37717,0.90283,1.12212,0.65191,0.57021,0.5999,0.25006,1.8639,2.56624,1.24751,0.00905463,0.00905463,0.00905463
22,9887.24,1.37041,0.89102,1.12443,0.7036,0.53982,0.59805,0.25227,1.83474,2.40073,1.25247,0.00896127,0.00896127,0.00896127
23,10333.1,1.37871,0.88122,1.11998,0.65265,0.54705,0.57954,0.24325,1.86306,2.47472,1.25418,0.00886404,0.00886404,0.00886404
24,10779.7,1.35896,0.87754,1.11625,0.69469,0.52684,0.58865,0.25069,1.87527,2.77215,1.27194,0.00876305,0.00876305,0.00876305
25,11226.2,1.34866,0.85877,1.10961,0.65621,0.52926,0.57934,0.24531,1.85536,2.49288,1.25125,0.00865839,0.00865839,0.00865839
26,11672.8,1.33822,0.84359,1.10564,0.63404,0.52094,0.56398,0.24579,1.84301,2.71376,1.23782,0.00855018,0.00855018,0.00855018
27,12115.6,1.32929,0.83834,1.10312,0.66918,0.5472,0.58423,0.25134,1.85501,2.53255,1.23875,0.00843851,0.00843851,0.00843851
28,12561,1.328,0.82737,1.09978,0.68211,0.53569,0.58374,0.24523,1.89537,2.34043,1.27189,0.00832349,0.00832349,0.00832349
29,13005.9,1.33268,0.83023,1.10578,0.66742,0.53514,0.579,0.24735,1.83445,2.65617,1.24235,0.00820525,0.00820525,0.00820525
30,13451,1.30915,0.81101,1.09391,0.67037,0.5056,0.55529,0.23845,1.84709,2.55963,1.24626,0.00808389,0.00808389,0.00808389
31,13895,1.30913,0.81646,1.09333,0.64795,0.54926,0.57816,0.24444,1.86303,2.57656,1.24667,0.00795954,0.00795954,0.00795954
32,14340.6,1.31238,0.81387,1.09222,0.66262,0.52895,0.57262,0.24601,1.88787,2.31761,1.26846,0.00783231,0.00783231,0.00783231
33,14785.5,1.28592,0.78201,1.07908,0.68496,0.53874,0.58901,0.2552,1.83468,2.3111,1.2367,0.00770234,0.00770234,0.00770234
34,15230.7,1.28651,0.78754,1.08221,0.66158,0.54956,0.58592,0.25175,1.848,2.76968,1.23989,0.00756976,0.00756976,0.00756976
35,15674.8,1.28171,0.78648,1.07752,0.70085,0.5174,0.58845,0.25162,1.85412,2.2833,1.24116,0.00743468,0.00743468,0.00743468
36,16119.4,1.27509,0.77367,1.07329,0.66111,0.52712,0.57805,0.25289,1.84786,2.35945,1.23803,0.00729725,0.00729725,0.00729725
37,16564.1,1.27,0.76781,1.07136,0.64864,0.55457,0.58615,0.25284,1.87703,2.37775,1.24986,0.00715761,0.00715761,0.00715761
38,17009.2,1.26834,0.76565,1.0692,0.64654,0.55752,0.59049,0.25375,1.86402,2.33138,1.23973,0.00701588,0.00701588,0.00701588
39,17453.8,1.25855,0.75237,1.06193,0.67962,0.52126,0.58558,0.25353,1.84933,2.41146,1.2342,0.00687222,0.00687222,0.00687222
40,17898.8,1.25329,0.74385,1.06389,0.64414,0.53662,0.57393,0.25114,1.85371,2.34807,1.23953,0.00672675,0.00672675,0.00672675
41,18345.1,1.24651,0.7475,1.05631,0.65502,0.55337,0.58018,0.24904,1.86938,2.25968,1.24842,0.00657963,0.00657963,0.00657963
42,18793.6,1.23243,0.73599,1.05437,0.62875,0.55103,0.57694,0.24786,1.85913,2.24623,1.24646,0.00643101,0.00643101,0.00643101
