epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.402,1.70063,1.83683,1.2349,0.00711,0.01416,0.00069,0.00019,3.08936,27.4465,2.12123,0.00332983,0.00332983,0.00332983
2,644.924,1.5572,1.25791,1.16966,0.00766,0.01239,0.00085,0.00024,2.89977,23.1997,1.92308,0.0065972,0.0065972,0.0065972
3,944.757,1.56063,1.15938,1.18598,0.00831,0.00973,0.00122,0.00034,3.02843,22.2916,2.13356,0.00979856,0.00979856,0.00979856
4,1242.24,1.54753,1.09744,1.1974,0.00746,0.01416,0.00248,0.00073,2.94972,25.7898,2.02934,0.009703,0.009703,0.009703
5,1545.05,1.51783,1.04535,1.18899,0.00729,0.01032,0.00123,0.00034,3.12982,23.6511,2.17308,0.009604,0.009604,0.009604
6,1847.42,1.4784,0.97776,1.17209,0.00695,0.01091,0.00231,0.00072,3.03485,21.8105,2.17444,0.009505,0.009505,0.009505
7,2153.08,1.45816,0.95504,1.16351,0.00611,0.00973,0.0012,0.00038,2.8171,23.9079,1.77351,0.009406,0.009406,0.009406
8,2455.82,1.43235,0.92863,1.14946,0.0078,0.01357,0.00222,0.00071,2.7798,25.6369,1.7732,0.009307,0.009307,0.009307
9,2775.46,1.42289,0.90279,1.14629,0.00639,0.01268,0.00218,0.00069,2.88598,23.0272,1.98714,0.009208,0.009208,0.009208
10,3078.66,1.39452,0.86867,1.13101,0.00683,0.01239,0.00094,0.00029,2.92785,23.9054,2.03079,0.009109,0.009109,0.009109
11,3381.48,1.37893,0.85442,1.124,0.00735,0.01298,0.00124,0.00039,2.83913,24.6247,1.84781,0.00901,0.00901,0.00901
12,3685.77,1.3671,0.84207,1.1177,0.00783,0.00826,0.00177,0.00049,3.05304,23.1457,2.1187,0.008911,0.008911,0.008911
13,3994.06,1.35112,0.821,1.10755,0.00682,0.01298,0.00154,0.00048,2.9948,25.1263,2.07065,0.008812,0.008812,0.008812
14,4290.59,1.32971,0.80397,1.0995,0.00722,0.01121,0.00191,0.00055,2.97506,25.8182,2.0418,0.008713,0.008713,0.008713
15,4592.54,1.32508,0.79215,1.09723,0.00752,0.01298,0.00298,0.00092,2.87431,25.4519,1.9581,0.008614,0.008614,0.008614
16,4890.46,1.31684,0.78712,1.09192,0.00657,0.00973,0.00219,0.00069,2.91917,22.4771,1.98039,0.008515,0.008515,0.008515
17,5695.35,1.29926,0.77231,1.08258,0.00678,0.01298,0.00234,0.00067,2.86707,27.6716,1.91444,0.008416,0.008416,0.008416
18,6443.9,1.2901,0.76154,1.08137,0.00727,0.01121,0.00196,0.00064,2.85993,25.4909,1.91383,0.008317,0.008317,0.008317
19,6751.34,1.27785,0.74871,1.07848,0.007,0.01239,0.00228,0.00071,2.89227,26.6603,1.95423,0.008218,0.008218,0.008218
20,7054.46,1.27693,0.74469,1.07649,0.00703,0.00944,0.00198,0.00064,2.90578,26.6791,1.92737,0.008119,0.008119,0.008119
21,7354.75,1.26919,0.73774,1.07052,0.00694,0.0115,0.00154,0.0005,2.85094,28.3127,1.94184,0.00802,0.00802,0.00802
22,7657.46,1.2584,0.72778,1.06391,0.00655,0.01032,0.00208,0.00058,2.92529,26.7049,1.95201,0.007921,0.007921,0.007921
23,7968.8,1.24747,0.71466,1.06478,0.00722,0.01003,0.0022,0.00067,2.86963,28.3954,1.92193,0.007822,0.007822,0.007822
24,8271.37,1.23548,0.70446,1.05879,0.00739,0.01062,0.00231,0.00067,2.91657,26.9036,1.96402,0.007723,0.007723,0.007723
25,8575.24,1.23385,0.69965,1.05488,0.0065,0.01091,0.00179,0.00051,2.85248,28.1796,1.83079,0.007624,0.007624,0.007624
26,8950.34,1.22384,0.69407,1.05196,0.00705,0.01121,0.0023,0.00071,2.89421,29.3951,1.93134,0.007525,0.007525,0.007525
27,9464.55,1.21399,0.68534,1.04906,0.00735,0.01003,0.00211,0.00064,2.83624,27.8339,1.9295,0.007426,0.007426,0.007426
28,9990.62,1.21694,0.68136,1.04887,0.00748,0.01091,0.00247,0.00075,2.89112,27.939,1.94459,0.007327,0.007327,0.007327
29,10508.7,1.20759,0.67517,1.04267,0.00669,0.01268,0.00253,0.00076,3.01969,28.9629,2.04643,0.007228,0.007228,0.007228
30,11024,1.20245,0.67362,1.04167,0.00764,0.0115,0.00265,0.00082,2.80905,28.0623,1.85613,0.007129,0.007129,0.007129
31,11521.3,1.20086,0.66538,1.04173,0.00709,0.0118,0.00237,0.00072,2.91002,28.8828,1.94665,0.00703,0.00703,0.00703
