epoch,train/box_loss,train/obj_loss,train/cls_loss,train/aux_or_rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0361408,0.0166818,0,0,2946,886,868,0.770626,0.768799,0.772461,0.813808,0.385457,0.031294,0.0145883,0,0,0.000374,0.000374,0.001634,0.404478,0.474592,0.325094,0,0,0,0,0,0,0.989365
1,0.031725,0.0144053,0,0,3070,684,744,0.811271,0.817713,0.804929,0.871869,0.452443,0.0292489,0.0130037,0,0,0.000497538,0.000497538,0.000497538,0.26708,0.280745,0.221076,0,0,0,0,0,0,0.992796
2,0.0281667,0.0125523,0,0,3194,611,620,0.8384,0.839362,0.837441,0.903307,0.462186,0.0280391,0.0124978,0,0,0.000497538,0.000497538,0.000497538,0.226104,0.228869,0.199192,0,0,0,0,0,0,0.994511
3,0.0259091,0.0119206,0,0,3266,707,548,0.838815,0.822013,0.856319,0.904945,0.489152,0.0273831,0.0126473,0,0,0.000490211,0.000490211,0.000490211,0.243334,0.290515,0.186348,0,0,0,0,0,0,0.995197
4,0.0250188,0.0114841,0,0,3304,713,510,0.843849,0.822511,0.866323,0.904931,0.485966,0.0274591,0.0127483,0,0,0.000478201,0.000478201,0.000478201,0.236984,0.281457,0.184116,0,0,0,0,0,0,0.993825
5,0.0241566,0.0111221,0,0,3247,607,567,0.846876,0.84246,0.851337,0.907504,0.492339,0.0271064,0.0125689,0,0,0.000461803,0.000461803,0.000461803,0.235086,0.279953,0.179496,0,0,0,0,0,0,0.993139
6,0.0235935,0.0109144,0,0,3234,636,580,0.841684,0.835641,0.847816,0.899825,0.477887,0.0272126,0.0126187,0,0,0.000441421,0.000441421,0.000441421,0.270263,0.324122,0.213213,0,0,0,0,0,0,0.994511
7,0.0230402,0.0106654,0,0,3306,786,508,0.836376,0.807934,0.866894,0.881233,0.464817,0.0273262,0.0131176,0,0,0.000417557,0.000417557,0.000417557,0.327629,0.390095,0.25957,0,0,0,0,0,0,0.994511
8,0.0228979,0.0105044,0,0,3300,714,514,0.843121,0.822111,0.865233,0.895525,0.476741,0.0270166,0.0128527,0,0,0.000390798,0.000390798,0.000390798,0.284175,0.351396,0.213177,0,0,0,0,0,0,0.994854
9,0.0225159,0.0103737,0,0,3266,587,548,0.851929,0.847642,0.856259,0.908312,0.489861,0.0277492,0.0124633,0,0,0.000361803,0.000361803,0.000361803,0.218958,0.276694,0.16177,0,0,0,0,0,0,0.994511
10,0.0227282,0.0101868,0,0,3248,616,566,0.846081,0.840634,0.851599,0.907155,0.484684,0.0279059,0.0124213,0,0,0.000331287,0.000331287,0.000331287,0.220979,0.275327,0.166136,0,0,0,0,0,0,0.993482
11,0.0224532,0.0100723,0,0,3290,652,524,0.848345,0.834543,0.862611,0.903952,0.469618,0.0282908,0.0124942,0,0,0.0003,0.0003,0.0003,0.235397,0.290155,0.167517,0,0,0,0,0,0,0.993482
12,0.0224549,0.00998429,0,0,3287,712,527,0.841378,0.821879,0.861825,0.890558,0.435552,0.0282716,0.0125472,0,0,0.000268713,0.000268713,0.000268713,0.284379,0.366128,0.193008,0,0,0,0,0,0,0.991424
13,0.0224158,0.00994126,0,0,3218,684,596,0.834103,0.824689,0.843734,0.888198,0.424508,0.0286702,0.0124509,0,0,0.000238197,0.000238197,0.000238197,0.257121,0.333112,0.176312,0,0,0,0,0,0,0.985935
14,0.0222543,0.00991392,0,0,3229,680,585,0.836215,0.826046,0.846638,0.892562,0.434291,0.0289299,0.0125936,0,0,0.000209202,0.000209202,0.000209202,0.249346,0.320004,0.167107,0,0,0,0,0,0,0.98422
15,0.0217163,0.00980689,0,0,3233,704,581,0.83419,0.821176,0.847624,0.87937,0.408193,0.029718,0.0125835,0,0,0.000182443,0.000182443,0.000182443,0.294843,0.372376,0.205376,0,0,0,0,0,0,0.986964
16,0.0226817,0.00985175,0,0,3175,672,639,0.828925,0.825334,0.832548,0.874985,0.395818,0.0319573,0.0126859,0,0,0.000158579,0.000158579,0.000158579,0.294306,0.383793,0.184635,0,0,0,0,0,0,0.982847
17,0.0252014,0.00995248,0,0,3243,773,571,0.828334,0.807514,0.850256,0.867802,0.380691,0.0302272,0.0126114,0,0,0.000138197,0.000138197,0.000138197,0.324513,0.416216,0.216962,0,0,0,0,0,0,0.981818
18,0.0239487,0.00987998,0,0,3040,945,774,0.779658,0.762888,0.797182,0.779575,0.273963,0.0341632,0.0125103,0,0,0.000121799,0.000121799,0.000121799,0.445597,0.589257,0.231396,0,0,0,0,0,0,0.945455
19,0.0244917,0.00988376,0,0,3196,670,618,0.832253,0.826619,0.837965,0.877326,0.359997,0.0327766,0.0126814,0,0,0.000109789,0.000109789,0.000109789,0.298552,0.375638,0.201144,0,0,0,0,0,0,0.984563
