epoch,train/box_loss,train/obj_loss,train/cls_loss,train/aux_or_rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0361336,0.0166366,0,0.00676729,2949,918,865,0.767832,0.762534,0.773204,0.810209,0.385232,0.031316,0.0146617,0,0,0.000374,0.000374,0.001634,0.405997,0.476235,0.32137,0,0,0,0,0,0,0.988336
1,0.0318716,0.0146302,0,0.0101836,2970,524,844,0.8128,0.850011,0.77871,0.875314,0.460082,0.0291794,0.0128708,0,0,0.000497538,0.000497538,0.000497538,0.255202,0.256854,0.228587,0,0,0,0,0,0,0.993482
2,0.0281871,0.0126643,0,0.00996321,3140,581,674,0.833485,0.84387,0.823353,0.893625,0.448048,0.0282459,0.0126832,0,0,0.000497538,0.000497538,0.000497538,0.24544,0.269522,0.217649,0,0,0,0,0,0,0.994168
3,0.0258578,0.0118874,0,0.00973253,3228,638,586,0.840574,0.83487,0.846356,0.907777,0.4954,0.0268896,0.0125287,0,0,0.000490211,0.000490211,0.000490211,0.23795,0.285554,0.180844,0,0,0,0,0,0,0.994854
4,0.024956,0.0114243,0,0.009545,3250,663,564,0.841242,0.830635,0.852124,0.903556,0.482991,0.0273274,0.0125586,0,0,0.000478201,0.000478201,0.000478201,0.25903,0.314208,0.196735,0,0,0,0,0,0,0.995197
5,0.0240673,0.0109815,0,0.00940261,3296,705,518,0.843502,0.823793,0.864178,0.909832,0.492385,0.0270976,0.0124207,0,0,0.000461803,0.000461803,0.000461803,0.231137,0.292008,0.167915,0,0,0,0,0,0,0.993482
6,0.0236685,0.0108021,0,0.00927979,3269,684,545,0.841752,0.826939,0.857105,0.899873,0.483443,0.0271955,0.0125154,0,0,0.000441421,0.000441421,0.000441421,0.265147,0.323502,0.202448,0,0,0,0,0,0,0.995197
7,0.0230469,0.0105772,0,0.00919113,3318,854,496,0.830952,0.795301,0.869948,0.878669,0.468283,0.0269416,0.0130675,0,0,0.000417557,0.000417557,0.000417557,0.33564,0.412889,0.248267,0,0,0,0,0,0,0.994168
8,0.0227452,0.0104527,0,0.00911233,3317,796,497,0.836848,0.806396,0.869691,0.884379,0.47863,0.0268359,0.0131458,0,0,0.000390798,0.000390798,0.000390798,0.324336,0.398571,0.247912,0,0,0,0,0,0,0.994854
9,0.022325,0.0102762,0,0.00903822,3302,708,512,0.844052,0.823436,0.865727,0.897284,0.494399,0.0269293,0.0127828,0,0,0.000361803,0.000361803,0.000361803,0.279284,0.343866,0.207764,0,0,0,0,0,0,0.99554
10,0.0222523,0.0100938,0,0.00897352,3325,712,489,0.847021,0.823623,0.871788,0.906638,0.493573,0.0273454,0.0124983,0,0,0.000331287,0.000331287,0.000331287,0.229663,0.282486,0.171077,0,0,0,0,0,0,0.994168
11,0.0223781,0.0100271,0,0.00892708,3262,727,552,0.836095,0.817762,0.85527,0.899358,0.477784,0.0279357,0.0125022,0,0,0.0003,0.0003,0.0003,0.243778,0.310348,0.166613,0,0,0,0,0,0,0.991081
12,0.0226539,0.00990719,0,0.0088939,3234,727,580,0.831868,0.816405,0.847929,0.879966,0.422849,0.0286501,0.0126755,0,0,0.000268713,0.000268713,0.000268713,0.296571,0.385241,0.20256,0,0,0,0,0,0,0.987993
13,0.0224891,0.00988344,0,0.00885999,3224,788,590,0.823902,0.803555,0.845307,0.875174,0.413183,0.0286809,0.0126529,0,0,0.000238197,0.000238197,0.000238197,0.306177,0.392421,0.202178,0,0,0,0,0,0,0.986621
14,0.0219449,0.00980392,0,0.00883738,3268,739,546,0.83563,0.815551,0.856722,0.888999,0.433213,0.0287021,0.0126721,0,0,0.000209202,0.000209202,0.000209202,0.273108,0.343943,0.188668,0,0,0,0,0,0,0.984906
15,0.021776,0.00976828,0,0.00880344,3235,724,579,0.832304,0.817106,0.848079,0.883074,0.422207,0.0288303,0.012625,0,0,0.000182443,0.000182443,0.000182443,0.291067,0.371594,0.195682,0,0,0,0,0,0,0.985935
16,0.0219066,0.00974029,0,0.0087845,3286,818,528,0.830032,0.800727,0.861563,0.868706,0.400062,0.030478,0.0128701,0,0,0.000158579,0.000158579,0.000158579,0.332144,0.407157,0.234996,0,0,0,0,0,0,0.98422
17,0.0229503,0.00974968,0,0.00876196,3249,766,565,0.830005,0.809241,0.851862,0.868675,0.401945,0.0316827,0.012772,0,0,0.000138197,0.000138197,0.000138197,0.322773,0.40372,0.228943,0,0,0,0,0,0,0.981818
18,0.0248232,0.009813,0,0.00875413,3164,921,650,0.80111,0.774539,0.829568,0.815633,0.318325,0.0315831,0.0128638,0,0,0.000121799,0.000121799,0.000121799,0.434175,0.547917,0.273373,0,0,0,0,0,0,0.965695
19,0.0250781,0.00985203,0,0.00875228,3132,896,682,0.798756,0.77755,0.821152,0.80313,0.284094,0.0336218,0.0128276,0,0,0.000109789,0.000109789,0.000109789,0.447115,0.56439,0.282612,0,0,0,0,0,0,0.959863
